,Country,Alpha_flood_occurences,Beta_flood_occurences,Alpha_storm_occurences,Beta_storm_occurences
37,KEN,0.2812088447678263,0.36052478821030787,-1.1314486984481587,-1.553058973299766
38,LKA,-0.29316338741502845,0.7046089400311867,-0.5310426321818209,-0.5320118862934946
39,PAK,-0.02408731897767805,0.8773453856234479,-0.19521835287197986,-0.2820243076210169
40,SAU,-0.4981042751371708,0.3587779637225305,-1.0211097638722892,-1.1514826060943284
41,TUR,0.3440050137087817,-0.14720478741487386,-0.35587979045608015,-0.6795962998545817
42,TZA,-0.4809616717057807,0.5247846697339458,-0.6738593956388962,-0.6849527233627493
43,ITA,0.23613880893276604,0.09314522738567749,-0.7389246255769417,0.19143288596559518
44,MYS,0.09226560363778878,0.39942471254334644,-0.3492329219257748,-0.8079522731740589
45,IRN,0.831792922953727,-0.1982943054186923,-0.3209795635656519,-0.7109547419409232
46,LAO,-0.4519203886588209,0.07139866052010581,-0.85497397973636,-0.5066237972571168
47,MNG,-0.7470524416748131,-0.6193499245128257,-0.17362467199170456,-0.6110939984703976
48,SEN,-0.14899551266381086,-0.20953108728627223,-0.3997706034477807,-1.1533202030885281
49,TGO,-0.29546783054782655,-0.5140168362646389,-1.1260531865521495,-1.5529054701482135
50,IRQ,-0.4988767922433818,-0.1018447483462927,-1.1584807535922124,-1.5246541227639128
51,MOZ,0.11254894623431728,0.13534370858314618,-0.0018666630437792762,-0.1777266541863738
52,MWI,0.13592929783704907,0.16817893641611795,-0.7358907891405427,-0.8137425307957775
53,PRT,-0.2508346350347972,-0.644547932835665,-0.6680972639215318,-0.20291199595630377
54,SYR,-0.8450672060077914,-0.9516612504537475,-0.59615907810405,-0.7460682013101051
55,MDG,-0.5018414764617418,-0.5461906787242051,0.2726437011066611,0.20314865917376845
56,NPL,-0.17139407776964952,0.3239788998690312,-0.9346754668941717,-0.8825589473472928
57,ROU,0.996076964099288,-0.2465054672855274,-0.24449645536476763,-0.6582972270837399
58,NLD,-1.155754213761597,-1.5621610569496458,-0.45144228450396245,-0.22144170467888113
59,NER,-0.23737529723388093,0.29294596245914883,-0.8646910592835108,-1.30392118596996
60,RWA,-0.4408663778886591,0.11067291569094401,-0.9419273493181156,-0.8362994173214329
61,SDN,0.08848965038964905,0.08934291080371858,-0.7650877073321248,-1.0556123157443187
62,SLE,-0.511875574481358,-0.23832662838881166,-0.8225197428413714,-1.3705286790831455
63,SWE,-1.140052671236744,-1.550277591468483,-0.40691012164182144,-0.911216477968915
64,OMN,-0.8981475731949786,-0.6531885965056227,-0.515401202471763,-0.33137835070814914
65,POL,-0.2715746851627603,-0.5201767072079888,-0.1061279747730776,-0.23579640131481439
66,TCD,-0.05821243834669511,-0.3328577432853647,-0.9171673937929258,-1.2665837046643025
67,NGA,1.0766140263233155,-0.25662243921570976,-0.40688108452420235,-0.7537594235277908
68,VNM,0.5853692683119984,0.46198651149829445,0.5490823649241762,0.4043443689732625
69,YUG,-1.1324835927057377,-1.555700981068508,-1.1594372754532245,-1.5539085295242727
70,ZAF,0.2761843644932255,-0.0727885649190615,0.43072371502893525,-0.3564973253994332
71,YMD,-1.1466972031720792,-1.5300138841149309,-1.1333904349601953,-1.5447395666186021
72,YMN,-1.1166500910237924,-1.5413459078716503,-1.1183009725211375,-1.5689538887376384
73,ZWE,-0.26089524263394814,-0.30223424329559584,-0.6881080717199901,-0.3866811004218346
74,ZMB,0.08967953990150784,-0.286445856800302,-1.1030318617490749,-1.5264362134667881
75,BGR,-0.10265727089537785,-0.012678549956890148,-0.40853263329856676,-0.927661031203517
76,CSK,-1.1417591052493306,-1.5411457197788454,-1.124636924213635,-1.5481754416947178
